,kernel,C,gamma,epsilon,MAE,MAPE,RMSE,R2
280,poly,0.001,10,10.0,107.84311587665417,58.094762757743425,115.35546494755133,-4.49084546383842
238,rbf,100.0,1,10.0,108.7024858018145,57.6730603693668,115.99985770452427,-4.55236216222769
237,rbf,100.0,1,1.0,109.14520852003285,58.03795768660515,116.08088812462636,-4.5601219541340905
378,poly,1.0,1,0.001,108.11609398314347,58.297386981788726,116.11490406775717,-4.563381069508875
276,poly,0.001,10,0.001,108.11683443031382,58.2976807547525,116.11520871861238,-4.56341026285038
277,poly,0.001,10,0.01,108.13419178967798,58.30634696598226,116.13436317218954,-4.565245903060356
379,poly,1.0,1,0.01,108.13481639763867,58.30674995056601,116.13539603693044,-4.565344894808739
380,poly,1.0,1,0.1,108.42553397393299,58.44286872107821,116.42979457610589,-4.593596506965112
278,poly,0.001,10,0.1,108.42587346424709,58.442991170414174,116.42992488267718,-4.5936090275195385
235,rbf,100.0,1,0.01,109.61576731103256,58.27533213012459,116.5391139885782,-4.604105427958619
234,rbf,100.0,1,0.001,109.6301509138143,58.28251520756521,116.55387407034354,-4.605525076516217
236,rbf,100.0,1,0.1,109.62877743160291,58.280343250538394,116.55787155464309,-4.60590959196763
279,poly,0.001,10,1.0,108.78899982619411,58.59493765077911,116.65487043581966,-4.615243894511452
381,poly,1.0,1,1.0,108.78946371113233,58.595142992041275,116.65539808314604,-4.615294691792656
594,sigmoid,1.0,1,0.001,106.55469346453783,56.29953187706752,116.85635851944804,-4.634658117286614
595,sigmoid,1.0,1,0.01,106.56327895347839,56.30379017708247,116.86441835087194,-4.63543541278505
596,sigmoid,1.0,1,0.1,106.98470319905587,56.504893140078295,117.08100032336978,-4.65634279806947
597,sigmoid,1.0,1,1.0,106.94481225933337,56.49259228960619,117.16413794776773,-4.664378634157562
346,poly,0.1,1,10.0,110.53809873376996,58.23973311869083,117.89492102443532,-4.735259391245042
448,poly,100.0,0.1,10.0,110.53843402818521,58.23991512725456,117.89523177912056,-4.735289625983914
447,poly,100.0,0.1,1.0,111.04300024001522,58.6118453831725,118.74246588373116,-4.818017189519681
345,poly,0.1,1,1.0,111.04304916362842,58.61187622180294,118.74251162010066,-4.818021671404627
446,poly,100.0,0.1,0.1,111.41077879437606,58.78887897198862,119.19653837806334,-4.862598590061504
344,poly,0.1,1,0.1,111.41077024660787,58.78888419059931,119.19654431597377,-4.862599174165482
