"","date","cnt"
"423","2018-08-18",97
"424","2018-08-19",72
"425","2018-08-20",123
"426","2018-08-21",107
"427","2018-08-22",120
"428","2018-08-23",65
"429","2018-08-24",42
"430","2018-08-25",102
"431","2018-08-26",67
"432","2018-08-27",80
"433","2018-08-28",23
"434","2018-08-29",28
"435","2018-08-30",86
"436","2018-08-31",123
"437","2018-09-01",103
"438","2018-09-02",116
"439","2018-09-03",61
"440","2018-09-04",138
"441","2018-09-05",128
"442","2018-09-06",117
"443","2018-09-07",154
"444","2018-09-08",110
"445","2018-09-09",111
"446","2018-09-10",149
"447","2018-09-11",162
"448","2018-09-12",142
"449","2018-09-13",144
"450","2018-09-14",137
"451","2018-09-15",104
"452","2018-09-16",69
"453","2018-09-17",161
"454","2018-09-18",0
"455","2018-09-19",0
"456","2018-09-20",64
"457","2018-09-21",100
"458","2018-09-22",99
"459","2018-09-23",67
"460","2018-09-24",38
"461","2018-09-25",64
"462","2018-09-26",118
"463","2018-09-27",147
"464","2018-09-28",0
"465","2018-09-29",144
"466","2018-09-30",0
"467","2018-10-01",142
"468","2018-10-02",0
"469","2018-10-03",128
"470","2018-10-04",0
"471","2018-10-05",12
"472","2018-10-06",63
"473","2018-10-07",122
"474","2018-10-08",132
"475","2018-10-09",0
"476","2018-10-10",104
"477","2018-10-11",105
"478","2018-10-12",119
"479","2018-10-13",92
"480","2018-10-14",87
"481","2018-10-15",112
"482","2018-10-16",114
"483","2018-10-17",128
"484","2018-10-18",131
"485","2018-10-19",124
"486","2018-10-20",86
"487","2018-10-21",88
"488","2018-10-22",116
"489","2018-10-23",100
"490","2018-10-24",123
"491","2018-10-25",119
"492","2018-10-26",53
"493","2018-10-27",61
"494","2018-10-28",38
"495","2018-10-29",87
"496","2018-10-30",84
"497","2018-10-31",101
"498","2018-11-01",94
"499","2018-11-02",92
"500","2018-11-03",0
"501","2018-11-04",101
"502","2018-11-05",113
"503","2018-11-06",0
"504","2018-11-07",80
"505","2018-11-08",4
"506","2018-11-09",0
"507","2018-11-10",64
"508","2018-11-11",50
"509","2018-11-12",93
"510","2018-11-13",97
"511","2018-11-14",80
"512","2018-11-15",86
"513","2018-11-16",88
"514","2018-11-17",50
"515","2018-11-18",60
"516","2018-11-19",75
"517","2018-11-20",84
"518","2018-11-21",65
"519","2018-11-22",80
"520","2018-11-23",65
"521","2018-11-24",18
"522","2018-11-25",46
"523","2018-11-26",80
"524","2018-11-27",54
"525","2018-11-28",72
"526","2018-11-29",71
"527","2018-11-30",65
"528","2018-12-01",95
"529","2018-12-02",93
