date,cnt,year,month,day,weekday,weeknum,is_holiday
2018-07-30,107,2018,07,30,0,31,0.0
2018-07-31,97,2018,07,31,1,31,0.0
2018-08-01,81,2018,08,01,2,31,0.0
2018-08-02,68,2018,08,02,3,31,0.0
2018-08-03,76,2018,08,03,4,31,0.0
2018-08-04,75,2018,08,04,5,31,0.0
2018-08-05,82,2018,08,05,6,31,0.0
2018-08-06,78,2018,08,06,0,32,0.0
2018-08-07,107,2018,08,07,1,32,0.0
2018-08-08,98,2018,08,08,2,32,0.0
2018-08-09,70,2018,08,09,3,32,0.0
2018-08-10,98,2018,08,10,4,32,0.0
2018-08-11,80,2018,08,11,5,32,0.0
2018-08-12,78,2018,08,12,6,32,0.0
2018-08-13,102,2018,08,13,0,33,0.0
2018-08-14,113,2018,08,14,1,33,0.0
2018-08-15,65,2018,08,15,2,33,1.0
2018-08-16,85,2018,08,16,3,33,0.0
2018-08-17,123,2018,08,17,4,33,0.0
2018-08-18,97,2018,08,18,5,33,0.0
2018-08-19,72,2018,08,19,6,33,0.0
2018-08-20,123,2018,08,20,0,34,0.0
2018-08-21,107,2018,08,21,1,34,0.0
2018-08-22,120,2018,08,22,2,34,0.0
2018-08-23,65,2018,08,23,3,34,0.0
2018-08-24,42,2018,08,24,4,34,0.0
2018-08-25,102,2018,08,25,5,34,0.0
2018-08-26,67,2018,08,26,6,34,0.0
2018-08-27,80,2018,08,27,0,35,0.0
2018-08-28,23,2018,08,28,1,35,0.0
2018-08-29,28,2018,08,29,2,35,0.0
2018-08-30,86,2018,08,30,3,35,0.0
2018-08-31,123,2018,08,31,4,35,0.0
2018-09-01,103,2018,09,01,5,35,0.0
2018-09-02,116,2018,09,02,6,35,0.0
2018-09-03,61,2018,09,03,0,36,0.0
2018-09-04,138,2018,09,04,1,36,0.0
2018-09-05,128,2018,09,05,2,36,0.0
2018-09-06,117,2018,09,06,3,36,0.0
2018-09-07,154,2018,09,07,4,36,0.0
2018-09-08,110,2018,09,08,5,36,0.0
2018-09-09,111,2018,09,09,6,36,0.0
2018-09-10,149,2018,09,10,0,37,0.0
2018-09-11,162,2018,09,11,1,37,0.0
2018-09-12,142,2018,09,12,2,37,0.0
2018-09-13,144,2018,09,13,3,37,0.0
2018-09-14,137,2018,09,14,4,37,0.0
2018-09-15,104,2018,09,15,5,37,0.0
2018-09-16,69,2018,09,16,6,37,0.0
2018-09-17,161,2018,09,17,0,38,0.0
2018-09-18,0,2018,09,18,1,38,0.0
2018-09-19,0,2018,09,19,2,38,0.0
2018-09-20,64,2018,09,20,3,38,0.0
2018-09-21,100,2018,09,21,4,38,0.0
2018-09-22,99,2018,09,22,5,38,0.0
2018-09-23,67,2018,09,23,6,38,1.0
2018-09-24,38,2018,09,24,0,39,1.0
2018-09-25,64,2018,09,25,1,39,1.0
2018-09-26,118,2018,09,26,2,39,1.0
2018-09-27,147,2018,09,27,3,39,0.0
2018-09-28,0,2018,09,28,4,39,0.0
2018-09-29,144,2018,09,29,5,39,0.0
2018-09-30,0,2018,09,30,6,39,0.0
2018-10-01,142,2018,10,01,0,40,0.0
2018-10-02,0,2018,10,02,1,40,0.0
2018-10-03,128,2018,10,03,2,40,1.0
2018-10-04,0,2018,10,04,3,40,0.0
2018-10-05,12,2018,10,05,4,40,0.0
2018-10-06,63,2018,10,06,5,40,0.0
2018-10-07,122,2018,10,07,6,40,0.0
2018-10-08,132,2018,10,08,0,41,0.0
2018-10-09,0,2018,10,09,1,41,1.0
2018-10-10,104,2018,10,10,2,41,0.0
2018-10-11,105,2018,10,11,3,41,0.0
2018-10-12,119,2018,10,12,4,41,0.0
2018-10-13,92,2018,10,13,5,41,0.0
2018-10-14,87,2018,10,14,6,41,0.0
2018-10-15,112,2018,10,15,0,42,0.0
2018-10-16,114,2018,10,16,1,42,0.0
2018-10-17,128,2018,10,17,2,42,0.0
2018-10-18,131,2018,10,18,3,42,0.0
2018-10-19,124,2018,10,19,4,42,0.0
2018-10-20,86,2018,10,20,5,42,0.0
2018-10-21,88,2018,10,21,6,42,0.0
2018-10-22,116,2018,10,22,0,43,0.0
2018-10-23,100,2018,10,23,1,43,0.0
2018-10-24,123,2018,10,24,2,43,0.0
2018-10-25,119,2018,10,25,3,43,0.0
2018-10-26,53,2018,10,26,4,43,0.0
2018-10-27,61,2018,10,27,5,43,0.0
2018-10-28,38,2018,10,28,6,43,0.0
2018-10-29,87,2018,10,29,0,44,0.0
2018-10-30,84,2018,10,30,1,44,0.0
2018-10-31,101,2018,10,31,2,44,0.0
2018-11-01,94,2018,11,01,3,44,0.0
2018-11-02,92,2018,11,02,4,44,0.0
2018-11-03,0,2018,11,03,5,44,0.0
2018-11-04,101,2018,11,04,6,44,0.0
2018-11-05,113,2018,11,05,0,45,0.0
2018-11-06,0,2018,11,06,1,45,0.0
2018-11-07,80,2018,11,07,2,45,0.0
2018-11-08,4,2018,11,08,3,45,0.0
2018-11-09,0,2018,11,09,4,45,0.0
2018-11-10,64,2018,11,10,5,45,0.0
2018-11-11,50,2018,11,11,6,45,0.0
2018-11-12,93,2018,11,12,0,46,0.0
2018-11-13,97,2018,11,13,1,46,0.0
2018-11-14,80,2018,11,14,2,46,0.0
2018-11-15,86,2018,11,15,3,46,0.0
2018-11-16,88,2018,11,16,4,46,0.0
2018-11-17,50,2018,11,17,5,46,0.0
2018-11-18,60,2018,11,18,6,46,0.0
2018-11-19,75,2018,11,19,0,47,0.0
2018-11-20,84,2018,11,20,1,47,0.0
2018-11-21,65,2018,11,21,2,47,0.0
2018-11-22,80,2018,11,22,3,47,0.0
2018-11-23,65,2018,11,23,4,47,0.0
2018-11-24,18,2018,11,24,5,47,0.0
2018-11-25,46,2018,11,25,6,47,0.0
2018-11-26,80,2018,11,26,0,48,0.0
2018-11-27,54,2018,11,27,1,48,0.0
2018-11-28,72,2018,11,28,2,48,0.0
2018-11-29,71,2018,11,29,3,48,0.0
2018-11-30,65,2018,11,30,4,48,0.0
2018-12-01,95,2018,12,01,5,48,0.0
2018-12-02,93,2018,12,02,6,48,0.0
2018-12-03,44,2018,12,03,0,49,0.0
2018-12-04,111,2018,12,04,1,49,0.0
2018-12-05,95,2018,12,05,2,49,0.0
2018-12-06,107,2018,12,06,3,49,0.0
2018-12-07,68,2018,12,07,4,49,0.0
2018-12-08,33,2018,12,08,5,49,0.0
2018-12-09,36,2018,12,09,6,49,0.0
2018-12-10,84,2018,12,10,0,50,0.0
2018-12-11,78,2018,12,11,1,50,0.0
2018-12-12,79,2018,12,12,2,50,0.0
2018-12-13,48,2018,12,13,3,50,0.0
2018-12-14,61,2018,12,14,4,50,0.0
2018-12-15,37,2018,12,15,5,50,0.0
2018-12-16,37,2018,12,16,6,50,0.0
2018-12-17,70,2018,12,17,0,51,0.0
2018-12-18,98,2018,12,18,1,51,0.0
2018-12-19,98,2018,12,19,2,51,0.0
2018-12-20,103,2018,12,20,3,51,0.0
2018-12-21,102,2018,12,21,4,51,0.0
2018-12-22,54,2018,12,22,5,51,0.0
2018-12-23,48,2018,12,23,6,51,0.0
2018-12-24,54,2018,12,24,0,52,0.0
2018-12-25,39,2018,12,25,1,52,1.0
2018-12-26,64,2018,12,26,2,52,0.0
2018-12-27,47,2018,12,27,3,52,0.0
2018-12-28,42,2018,12,28,4,52,0.0
2018-12-29,23,2018,12,29,5,52,0.0
2018-12-30,31,2018,12,30,6,52,0.0
2018-12-31,48,2018,12,31,0,1,0.0
2019-01-01,15,2019,01,01,1,1,1.0
2019-01-02,29,2019,01,02,2,1,0.0
2019-01-03,30,2019,01,03,3,1,0.0
2019-01-04,30,2019,01,04,4,1,0.0
2019-01-05,28,2019,01,05,5,1,0.0
2019-01-06,21,2019,01,06,6,1,0.0
2019-01-07,36,2019,01,07,0,2,0.0
2019-01-08,34,2019,01,08,1,2,0.0
2019-01-09,35,2019,01,09,2,2,0.0
2019-01-10,42,2019,01,10,3,2,0.0
2019-01-11,47,2019,01,11,4,2,0.0
2019-01-12,23,2019,01,12,5,2,0.0
2019-01-13,21,2019,01,13,6,2,0.0
2019-01-14,37,2019,01,14,0,3,0.0
2019-01-15,30,2019,01,15,1,3,0.0
