date,amount
2019-04-28,161.0
2019-04-29,182.0
2019-04-30,213.0
2019-05-01,176.0
2019-05-02,204.0
2019-05-03,175.0
2019-05-04,150.0
2019-05-05,147.0
2019-05-06,191.0
2019-05-07,182.0
2019-05-08,181.0
2019-05-09,229.0
2019-05-10,208.0
2019-05-11,188.0
2019-05-12,225.0
2019-05-13,198.0
2019-05-14,194.0
2019-05-15,202.0
2019-05-16,215.0
2019-05-17,195.0
2019-05-18,186.0
2019-05-19,45.0
2019-05-20,180.0
2019-05-21,189.0
2019-05-22,218.0
2019-05-23,228.0
2019-05-24,279.0
2019-05-25,355.5
2019-05-26,269.75
2019-05-27,184.0
2019-05-28,340.0
2019-05-29,412.0
2019-05-30,422.0
2019-05-31,321.5
2019-06-01,221.0
2019-06-02,234.0
2019-06-03,216.0
2019-06-04,223.0
2019-06-05,240.0
2019-06-06,106.0
2019-06-07,171.0
2019-06-08,222.0
2019-06-09,176.0
2019-06-10,160.0
2019-06-11,234.0
2019-06-12,235.0
2019-06-13,192.0
2019-06-14,219.0
2019-06-15,205.0
2019-06-16,221.0
2019-06-17,226.0
2019-06-18,126.0
2019-06-19,215.0
2019-06-20,227.0
2019-06-21,266.0
2019-06-22,234.0
2019-06-23,235.0
2019-06-24,251.0
2019-06-25,259.0
2019-06-26,258.0
2019-06-27,213.0
2019-06-28,205.0
2019-06-29,146.0
2019-06-30,208.0
2019-07-01,271.0
2019-07-02,246.0
2019-07-03,243.0
2019-07-04,253.0
2019-07-05,231.0
2019-07-06,194.0
2019-07-07,216.0
2019-07-08,234.0
2019-07-09,257.0
2019-07-10,118.0
2019-07-11,190.0
2019-07-12,252.0
2019-07-13,206.0
2019-07-14,189.0
2019-07-15,158.0
2019-07-16,228.0
2019-07-17,248.0
2019-07-18,235.0
2019-07-19,215.0
2019-07-20,142.0
2019-07-21,131.0
2019-07-22,242.0
2019-07-23,203.0
2019-07-24,173.0
2019-07-25,122.0
2019-07-26,96.0
2019-07-27,151.0
2019-07-28,95.0
2019-07-29,216.0
2019-07-30,197.0
2019-07-31,81.0
2019-08-01,164.0
2019-08-02,248.0
2019-08-03,242.0
2019-08-04,236.0
2019-08-05,190.0
2019-08-06,170.0
2019-08-07,140.0
2019-08-08,188.0
2019-08-09,186.0
2019-08-10,152.0
2019-08-11,126.0
